SBin	Comp	Uncomp
0	2546	47937
1	532	102153
2	443	14684
3	2527	32108
4	456	19373
5	450	17102
6	515	70258
7	2597	146254
8	349	1927
9	2487	13580
10	2533	36745
11	2549	51179
12	454	18523
13	2476	10538
14	424	9846
15	2578	97481
16	432	11513
17	2471	9549
18	2602	162883
19	2435	4369
20	540	119755
21	400	5771
22	2548	50238
23	488	39348
24	2554	57639
25	493	43316
26	2596	144431
27	2552	55074
28	2599	150988
29	2617	223090
30	2654	499372
31	2695	1213134
32	2740	3263457
33	2807	13667212
34	2887	77964996
35	3001	928668549
36	3220	106594330965
37	3697	3279819420258398
38	3022	1441783621
39	2807	13680393
40	2685	975680
41	2616	219123
42	2564	71523
43	325	1147
44	2485	12993
45	2549	51913
46	482	34492
47	2202	28
48	394	5130
49	2445	5465
50	2498	16970
51	2465	8292
52	2517	25831
53	2447	5730
54	503	53886
55	2441	4967
56	2433	4148
57	447	15902
58	2546	48180
59	459	20965
60	492	42243
61	2527	32173
62	2480	11711
63	445	15271
64	431	11314
65	2571	84053
66	2394	1800
