SBin	Comp	Uncomp
0	2908	123233623
1	2933	212436752
2	2949	301511192
3	2970	469969038
4	2985	656924601
5	3005	995603333
6	3022	1449525497
7	3040	2156682245
8	3060	3330497470
9	3082	5332998900
10	3106	8899975242
11	3130	15198681465
12	3159	28021102263
13	3190	55445940414
14	3225	119332886016
15	3266	286185742920
16	3314	804613392940
17	3372	2823159442336
18	3522	73937773384932
19	3846	81704684269100135
20	3837	67572016137014680
21	3507	53310576369415
22	3343	1537868729059
23	3245	181142412945
24	3173	38361261824
25	3116	11227679764
26	3070	4105920212
27	3030	1725693372
28	2982	617735865
29	2925	176728771
30	2877	63505112
31	2840	28232117
32	2802	12498395
33	2772	6462927
34	2738	3098962
35	2713	1813696
36	2689	1068112
37	2657	541226
38	2603	168135
39	2549	51272
40	2576	92393
41	2543	45173
42	2502	18755
43	2542	44567
44	2562	68452
45	494	44203
46	437	13034
47	433	11883
48	2464	8242
49	2562	67858
50	2538	40589
51	445	15438
52	484	35366
53	500	50056
54	506	58117
55	2466	8549
56	2388	1589
57	2547	49849
58	528	92130
59	459	20991
60	544	130251
61	462	21991
62	2597	145700
63	2576	92899
64	2516	25496
65	2512	23196
66	436	12619
