SBin	Comp	Uncomp
0	892	245737283
1	900	295495022
2	909	359473629
3	923	481186499
4	935	630697180
5	952	905909963
6	967	1262089223
7	985	1856304179
8	1005	2816539632
9	1026	4495490733
10	1049	7407543375
11	1074	12632761541
12	1102	23265625886
13	1133	45922834653
14	1169	98632796099
15	1209	236598607573
16	1257	664239337883
17	1315	2330457427712
18	1465	61024781286396
19	1789	67431118119322979
20	1780	55767471939247889
21	1450	43996165392021
22	1287	1269078906535
23	1188	149403559597
24	1116	31628971545
25	1059	9229479568
26	1013	3383382219
27	973	1422087798
28	925	508437029
29	868	144940077
30	820	51960536
31	783	23340996
32	744	10038592
33	717	5612602
34	684	2721232
35	657	1510595
36	638	1004182
37	618	655407
38	566	210810
39	557	173858
40	544	129916
41	559	181576
42	536	110754
43	556	171370
44	545	135289
45	533	104322
46	537	113561
47	551	152150
48	527	91577
49	529	94743
50	544	131560
51	515	70688
52	531	97875
53	541	123784
54	529	94046
55	539	117302
56	541	122117
57	530	97771
58	521	80327
59	495	45676
60	572	240602
61	495	45019
62	556	169744
63	509	61679
64	568	221416
65	471	26784
66	415	7955
