SBin	Comp	Uncomp
0	2552	55170
1	568	221279
2	2481	11788
3	621	692312
4	2535	38538
5	528	92652
6	2506	20198
7	2626	272777
8	473	28087
9	504	55138
10	2409	2484
11	2598	149664
12	2609	191300
13	2572	84112
14	516	72009
15	484	36060
16	2513	23716
17	534	104949
18	2642	386317
19	530	96201
20	528	92024
21	2542	44163
22	2583	108080
23	2485	13003
24	2641	381927
25	2622	250210
26	2616	221941
27	2654	502425
28	2694	1196374
29	2724	2289531
30	2772	6445723
31	2805	13344322
32	2854	38246079
33	2919	154752421
34	2999	885449789
35	3114	10564581915
36	3333	1213696351381
37	3810	37351298682609050
38	3134	16399960098
39	2920	158426498
40	2803	12785710
41	2728	2512820
42	2673	755840
43	2591	129160
44	2598	149465
45	2540	42174
46	514	68079
47	2472	9764
48	2540	42312
49	377	3555
50	498	48485
51	2529	33423
52	2550	53334
53	2548	50023
54	536	109549
55	448	16300
56	381	3852
57	425	9881
58	2468	8978
59	2585	112653
60	562	193009
61	2595	140291
62	2601	159029
63	2540	42496
64	578	275849
65	2543	45356
66	457	20041
