SBin	Comp	Uncomp
0	489	39401
1	545	133488
2	599	430854
3	541	121586
4	521	79291
5	2542	44415
6	492	42603
7	423	9620
8	452	17978
9	479	32352
10	517	73108
11	2499	17568
12	547	141083
13	584	312263
14	2509	21497
15	430	11102
16	611	559072
17	600	438065
18	2334	493
19	2499	17634
20	2553	55838
21	2511	22902
22	570	232140
23	2560	65565
24	2571	82594
25	522	80552
26	520	77763
27	564	202317
28	561	189789
29	512	65385
30	531	98041
31	346	1808
32	534	105575
33	467	24776
34	2454	6552
35	552	157472
36	599	430111
37	511	63834
38	575	257416
39	542	126252
40	580	286059
41	526	88310
42	567	215083
43	608	520247
44	627	788294
45	676	2277581
46	736	8307101
47	881	192511300
48	1689	7706672259952531
49	1689	7706663144867869
50	881	193819488
51	715	5305783
52	616	617082
53	559	180285
54	563	199781
55	558	176488
56	526	88550
57	755	12580640
58	895	260994759
59	995	2300283050
60	1292	1431818823549
61	1815	118457631571299570
62	1237	437532811314
63	1120	34323838551
64	537	112160
65	650	1307741
66	507	58642
