SBin	Comp	Uncomp
0	2460	7496
1	464	22938
2	594	383432
3	476	30238
4	2559	64592
5	2529	33323
6	450	17205
7	2524	30261
8	2532	35835
9	2491	14741
10	2517	25952
11	2535	38194
12	490	40542
13	545	134196
14	2552	54695
15	2529	33202
16	431	11416
17	556	171434
18	426	10241
19	452	17715
20	419	8732
21	493	43138
22	2540	42547
23	512	64943
24	517	72728
25	472	27846
26	503	54275
27	2487	13570
28	555	164679
29	402	6037
30	416	8277
31	2444	5364
32	2503	18907
33	2545	47099
34	481	33685
35	2503	19042
36	2595	139631
37	2519	27087
38	2448	5797
39	2467	8726
40	502	53077
41	338	1528
42	481	33840
43	510	62859
44	550	150025
45	602	464759
46	649	1287428
47	792	28352151
48	1601	1146562952464284
49	1601	1146567270682372
50	793	28986285
51	623	731498
52	537	113519
53	475	29336
54	447	16009
55	2542	44647
56	470	26193
57	662	1699900
58	808	39653999
59	907	342224946
60	1204	213018773443
61	1727	17623608679656912
62	1149	65060066311
63	1032	5121963459
64	2562	68228
65	580	287807
66	2519	26790
