SBin	Comp	Uncomp
0	900	295801664
1	909	356448768
2	918	429956008
3	932	584615752
4	944	759782395
5	961	1100540655
6	976	1530864808
7	994	2237846283
8	1014	3429728060
9	1035	5460387933
10	1058	8997379199
11	1083	15358175875
12	1111	28268173591
13	1142	55850960818
14	1178	119924165933
15	1218	287559177120
16	1266	807984262583
17	1324	2834180764918
18	1474	74213992695744
19	1798	82004925739502088
20	1789	67820428688690567
21	1459	53505073858894
22	1296	1543255650130
23	1197	181721457775
24	1125	38475190365
25	1068	11234949826
26	1022	4116314625
27	982	1733080265
28	934	616314108
29	877	176369749
30	829	63383193
31	792	28128681
32	754	12409638
33	726	6764005
34	694	3394083
35	665	1795848
36	647	1217991
37	627	790166
38	576	262794
39	563	196973
40	563	196708
41	573	244563
42	543	127229
43	564	204173
44	545	135114
45	543	128542
46	538	114909
47	557	173780
48	522	80702
49	531	98255
50	554	161263
51	524	85287
52	539	116732
53	534	106651
54	536	111170
55	546	138232
56	549	147643
57	532	100904
58	522	80836
59	2505	19762
60	576	264644
61	459	20882
62	579	281550
63	517	72914
64	575	258225
65	500	50276
66	413	7743
