SBin	Comp	Uncomp
0	2521	28077
1	591	366173
2	445	15210
3	620	673917
4	2481	11889
5	532	101275
6	470	26221
7	628	817307
8	511	63589
9	501	51200
10	564	203777
11	524	85677
12	569	222838
13	553	158804
14	492	42854
15	2551	54030
16	483	34931
17	578	272243
18	602	459464
19	549	145199
20	603	469004
21	580	284625
22	561	190975
23	598	424484
24	599	435454
25	577	268099
26	623	726225
27	614	595251
28	651	1319334
29	675	2250222
30	724	6512774
31	759	13703166
32	806	38480719
33	871	155231270
34	951	888657761
35	1066	10605202453
36	1285	1218164961219
37	1762	37488584712343396
38	1086	16454574146
39	872	159322491
40	756	13033616
41	684	2723072
42	625	761134
43	572	242827
44	552	156315
45	467	24926
46	550	148457
47	529	95347
48	558	176902
49	512	65904
50	551	152925
51	545	135380
52	526	89409
53	556	171007
54	555	165683
55	508	60268
56	532	101687
57	2464	8208
58	500	50538
59	513	66588
60	598	421692
61	557	175333
62	544	131133
63	532	100418
64	563	195821
65	440	13854
66	514	67757
