SBin	Comp	Uncomp
0	365	2716
1	580	283203
2	459	20643
3	622	715666
4	2481	11886
5	537	113086
6	408	6832
7	613	579379
8	525	87683
9	458	20458
10	560	183388
11	506	57781
12	512	65944
13	549	144545
14	473	28413
15	527	90009
16	515	70579
17	556	169319
18	591	364100
19	519	77083
20	582	301348
21	564	202600
22	565	207383
23	594	384611
24	590	354798
25	553	159979
26	620	685627
27	595	399525
28	641	1073707
29	667	1887667
30	716	5445751
31	750	11319489
32	797	31547188
33	862	127846952
34	942	730506452
35	1057	8719823647
36	1276	1001699757998
37	1753	30826155563930863
38	1077	13534242419
39	863	130962388
40	747	10632305
41	675	2224545
42	614	602731
43	570	229394
44	541	124063
45	2416	2910
46	547	138536
47	523	84040
48	538	115408
49	498	48670
50	546	137028
51	536	110706
52	540	120191
53	543	128255
54	532	100071
55	505	56392
56	521	79035
57	492	42640
58	457	19850
59	509	61928
60	586	324579
61	521	80096
62	550	147832
63	521	78967
64	556	171357
65	319	1008
66	500	51007
