SBin	Comp	Uncomp
0	437	12976
1	2563	69480
2	2642	385650
3	2601	157967
4	2557	61122
5	2574	89338
6	2469	9155
7	2509	21667
8	2555	58888
9	2537	39457
10	2588	120817
11	457	19841
12	2577	94803
13	2587	118112
14	2552	54684
15	427	10466
16	2646	418612
17	2528	32779
18	443	14545
19	511	63772
20	496	45935
21	517	72855
22	419	8782
23	2377	1254
24	493	43815
25	446	15805
26	2539	41408
27	564	201428
28	2557	60758
29	503	54352
30	435	12314
31	412	7445
32	2468	8985
33	2558	63006
34	2523	29627
35	507	58422
36	536	109733
37	2582	105753
38	2591	129367
39	2539	41629
40	396	5256
41	2471	9444
42	2592	130125
43	2647	427036
44	2681	905439
45	2733	2787417
46	2792	10021353
47	2938	233669077
48	3746	9337998037946137
49	3746	9337984032809460
50	2938	234795731
51	2771	6328771
52	2672	743882
53	2594	137650
54	2531	35270
55	2552	55615
56	2507	20745
57	2811	15185478
58	2951	315682306
59	3052	2790762722
60	3349	1735194981077
61	3872	143532374360100089
62	3294	530203050984
63	3177	41597658047
64	2588	121001
65	2708	1624569
66	2532	35938
