SBin	Comp	Uncomp
0	548	141583
1	602	456385
2	594	386988
3	551	152959
4	449	16581
5	478	31202
6	488	38791
7	458	20208
8	458	20143
9	545	134423
10	546	136602
11	465	23699
12	575	258962
13	565	207786
14	445	15263
15	218	113
16	602	460024
17	581	289707
18	459	20849
19	438	13077
20	534	106012
21	2538	40922
22	560	183874
23	477	30892
24	380	3743
25	495	45593
26	527	89929
27	575	259025
28	575	257676
29	498	48650
30	543	128425
31	448	16310
32	547	139405
33	498	48918
34	403	6160
35	534	106663
36	576	259506
37	528	93369
38	563	196339
39	554	162532
40	581	293405
41	522	81847
42	584	309107
43	615	613334
44	637	988404
45	687	2910914
46	745	10110790
47	890	234826428
48	1698	9372319656389361
49	1698	9372307168152473
50	890	236084890
51	723	6387883
52	626	770965
53	565	207184
54	579	279646
55	557	172399
56	533	103661
57	765	15820448
58	904	316738710
59	1004	2801416441
60	1301	1741325490116
61	1824	144059926232731749
62	1246	532167667800
63	1129	41764265791
64	536	109068
65	660	1633163
66	485	36313
