SBin	Comp	Uncomp
0	808	39951922
1	820	51656134
2	825	57792208
3	842	83596428
4	848	94531556
5	867	143115841
6	881	195138539
7	899	288396775
8	918	428002625
9	939	675928018
10	962	1126115225
11	986	1874363914
12	1015	3499352763
13	1046	6860294608
14	1081	14717849197
15	1121	35200270963
16	1169	98955683911
17	1227	346888569891
18	1377	9079538924718
19	1701	10032082396387204
20	1692	8296835024347672
21	1362	6545150066437
22	1199	188740222341
23	1100	22249571201
24	1028	4685174122
25	971	1364946272
26	925	498525302
27	885	211005983
28	837	75279092
29	780	21585380
30	730	7420380
31	696	3536580
32	651	1332974
33	625	756864
34	597	415961
35	569	226696
36	556	171430
37	522	81740
38	471	26952
39	487	38384
40	432	11573
41	409	7097
42	455	18921
43	490	40441
44	468	25052
45	363	2619
46	467	24977
47	412	7573
48	466	24402
49	411	7415
50	496	46673
51	404	6344
52	2444	5343
53	2454	6618
54	469	25728
55	454	18608
56	492	42685
57	380	3730
58	2508	21248
59	389	4572
60	2487	13412
61	474	28796
62	2532	35652
63	467	24742
64	512	65494
65	448	16475
66	2483	12283
