SBin	Comp	Uncomp
0	470	26308
1	2603	165141
2	2477	10925
3	2567	76645
4	522	81139
5	2531	34786
6	498	48515
7	2558	62743
8	2577	95494
9	2545	47256
10	2578	96551
11	2521	28428
12	2600	155216
13	2580	100158
14	477	30926
15	522	81410
16	2623	257566
17	2624	261894
18	2510	22150
19	414	7763
20	476	30202
21	490	41093
22	543	128838
23	2410	2551
24	332	1330
25	2497	16753
26	543	129080
27	500	50989
28	544	132162
29	480	33086
30	2516	25494
31	2517	25804
32	2601	159625
33	2502	18513
34	479	32294
35	2517	26060
36	510	62958
37	2565	72641
38	2439	4763
39	2568	78732
40	508	60649
41	2528	32978
42	2579	98269
43	2624	263112
44	2650	460606
45	2709	1666007
46	2767	5795984
47	2912	134695991
48	3720	5396274186424623
49	3720	5396270044255389
50	2913	135688076
51	2746	3667551
52	2648	436669
53	2562	68324
54	2409	2501
55	2553	56721
56	2461	7606
57	2787	8930673
58	2926	183406524
59	3027	1610696093
60	3324	1002550112149
61	3846	82944994662419803
62	3269	306347720390
63	3151	24022186234
64	2532	35538
65	2672	745559
66	2533	36308
