SBin	Comp	Uncomp
0	2883	71632495
1	2908	124118948
2	2924	174363201
3	2944	270793327
4	2960	378660100
5	2979	576386688
6	2997	839571432
7	3015	1240278408
8	3035	1927298583
9	3057	3088359691
10	3080	5129932716
11	3105	8806273620
12	3133	16171509073
13	3165	32048977577
14	3200	68955786074
15	3241	165380778979
16	3288	464974127259
17	3346	1631372943858
18	3497	42727299406060
19	3820	47215807163670097
20	3812	39048759577121855
21	3482	30807593912879
22	3318	888599445891
23	3219	104672741362
24	3148	22171803594
25	3091	6489084432
26	3045	2375077943
27	3005	1000028949
28	2957	355686248
29	2899	101805214
30	2853	37091415
31	2814	16183382
32	2777	7272451
33	2748	3867885
34	2713	1803206
35	2686	1008296
36	2662	592007
37	2636	340080
38	2558	63125
39	171	41
40	2547	49859
41	2540	42494
42	2501	18412
43	2475	10456
44	2462	7921
45	452	17722
46	2491	14582
47	464	23044
48	2468	8992
49	2498	17270
50	2488	13828
51	444	14948
52	449	16629
53	480	32887
54	437	12925
55	2497	16875
56	397	5486
57	2560	66093
58	551	152339
59	2487	13527
60	484	35730
61	2450	6095
62	2564	72113
63	2500	18001
64	434	12107
65	437	12896
66	465	23892
