SBin	Comp	Uncomp
0	503	54302
1	586	324312
2	469	25740
3	602	455981
4	2562	69061
5	2493	15232
6	491	41740
7	2596	142421
8	475	29130
9	531	98551
10	2504	19476
11	2594	137654
12	2604	170412
13	464	22937
14	2562	68319
15	2520	27558
16	2501	18379
17	523	83822
18	2628	288525
19	472	27829
20	528	92207
21	2580	101580
22	2581	104278
23	501	51376
24	2624	261329
25	2590	126262
26	2622	250079
27	2632	310681
28	2670	710938
29	2698	1292904
30	2745	3632610
31	2781	7835485
32	2829	22034900
33	2893	89376037
34	2974	511502011
35	3088	6106989967
36	3307	701383001420
37	3784	21584713264850190
38	3109	9474493113
39	2895	91931261
40	2777	7245102
41	2703	1452132
42	2649	453418
43	2562	68706
44	2561	66957
45	2519	26969
46	520	77661
47	2501	18106
48	2537	39786
49	421	9176
50	474	29033
51	2482	11995
52	2516	25159
53	2524	29755
54	521	78932
55	357	2290
56	387	4355
57	2567	76873
58	2540	42897
59	2542	44271
60	480	33091
61	2590	124257
62	2535	37743
63	2542	44497
64	532	100881
65	2556	60675
66	470	26430
